frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,0,1,0.000,0.846,0.000
1,0,1,0.000,0.937,0.000
2,0,1,0.000,0.936,0.000
3,0,1,0.000,0.947,0.000
4,0,1,0.000,0.926,0.000
5,0,1,0.000,0.881,0.000
6,0,1,0.000,0.835,0.000
7,0,1,0.000,0.908,0.000
8,0,1,0.000,0.746,0.000
9,0,1,0.000,0.762,0.000
10,0,0,0.305,0.559,-0.260
11,0,0,0.362,0.431,-0.252
12,1,1,0.665,0.628,-0.245
13,0,1,0.217,0.787,-0.239
14,0,1,0.234,0.682,-0.177
15,0,1,0.169,0.696,-0.160
16,0,1,0.156,0.762,-0.164
17,0,1,0.167,0.767,-0.168
18,0,1,0.177,0.772,-0.172
19,0,1,0.153,0.828,-0.079
20,0,1,0.240,0.833,-0.089
21,1,1,0.604,0.842,-0.096
22,0,1,0.095,0.782,-0.040
23,0,1,0.234,0.840,0.038
24,0,1,0.270,0.886,0.093
25,0,1,0.199,0.661,0.080
26,0,1,0.213,0.663,0.070
27,0,1,0.225,0.665,0.060
28,0,1,0.236,0.666,0.053
29,0,1,0.221,0.667,0.117
30,0,1,0.221,0.668,0.180
31,0,1,0.221,0.669,0.243
32,0,1,0.221,0.670,0.303
33,0,0,0.328,0.226,-0.157
34,0,0,0.403,0.226,-0.753
35,0,0,0.310,0.323,-0.638
36,0,0,0.124,0.584,-0.577
37,0,0,0.182,0.392,-0.436
38,0,0,0.099,0.556,-0.376
39,0,1,0.114,0.711,-0.333
40,0,1,0.129,0.664,-0.300
41,0,0,0.352,0.570,-0.223
42,0,1,0.352,0.635,-0.155
43,0,0,0.368,0.588,-0.089
44,0,1,0.418,0.647,-0.098
45,0,1,0.182,0.776,-0.154
46,0,1,0.211,0.805,-0.151
47,0,1,0.285,0.808,-0.149
48,0,1,0.361,0.754,-0.138
49,0,1,0.173,0.652,-0.138
50,0,1,0.189,0.658,-0.138
51,0,0,0.399,0.340,-0.101
52,0,0,0.520,0.340,-0.060
53,0,0,0.565,0.340,-0.027
54,0,0,0.513,0.306,0.011
55,0,0,0.513,0.276,0.047
56,0,0,0.514,0.248,0.081
57,0,0,0.514,0.223,0.112
58,0,0,0.076,0.370,-0.168
59,0,0,0.159,0.418,-0.160
60,0,0,0.303,0.515,-0.197
61,0,1,0.328,0.681,-0.150
62,0,1,0.328,0.623,-0.102
63,0,0,0.328,0.599,-0.067
64,0,1,0.398,0.602,-0.038
65,0,1,0.215,0.663,-0.006
66,0,0,0.400,0.407,0.158
67,0,0,0.207,0.366,0.118
68,0,0,0.216,0.330,0.086
69,0,0,0.225,0.297,0.058
70,0,0,0.233,0.267,0.036
71,0,0,0.562,0.240,0.259
72,0,0,0.224,0.216,0.189
73,0,0,0.202,0.195,0.189
74,0,0,0.182,0.175,0.189
75,0,0,0.164,0.158,0.189
76,1,0,0.639,0.142,0.197
77,1,0,0.607,0.128,0.408
78,0,0,0.546,0.115,0.408
79,0,0,0.567,0.103,0.381
80,1,0,0.631,0.093,0.442
81,1,0,0.633,0.084,0.501
82,1,0,0.635,0.075,0.557
83,1,0,0.636,0.068,0.597
84,0,0,0.573,0.061,0.597
85,0,0,0.515,0.055,0.597
86,0,0,0.464,0.049,0.597
87,0,0,0.417,0.045,0.597
88,0,0,0.376,0.040,0.597
89,0,0,0.338,0.036,0.597
90,0,0,0.304,0.032,0.597
91,0,0,0.274,0.029,0.597
92,0,0,0.246,0.026,0.597
93,0,0,0.575,0.024,0.531
94,0,0,0.581,0.021,0.479
95,0,0,0.586,0.019,0.435
96,0,0,0.527,0.017,0.435
97,0,0,0.474,0.016,0.435
98,0,0,0.427,0.014,0.435
99,0,0,0.384,0.013,0.435
100,0,0,0.346,0.011,0.435
101,0,0,0.375,0.010,0.290
102,0,0,0.375,0.009,0.185
103,0,0,0.375,0.008,0.106
104,0,0,0.375,0.007,0.046
105,0,0,0.375,0.007,-0.002
106,0,0,0.375,0.006,-0.041
107,0,0,0.375,0.005,-0.073
108,0,0,0.375,0.005,-0.099
109,0,0,0.375,0.004,-0.121
110,0,0,0.375,0.004,-0.139
111,0,0,0.375,0.004,-0.155
112,0,0,0.375,0.003,-0.168
113,0,0,0.375,0.003,-0.179
114,0,0,0.375,0.003,-0.189
115,0,0,0.375,0.002,-0.198
116,0,0,0.421,0.002,-0.186
117,0,0,0.569,0.002,-0.187
118,0,0,0.306,0.002,-0.023
119,0,0,0.497,0.002,-0.094
120,0,0,0.497,0.001,-0.149
121,1,0,0.790,0.354,-0.200
122,0,0,0.424,0.319,-0.171
123,0,0,0.091,0.287,-0.144
124,0,0,0.215,0.258,-0.169
125,0,0,0.218,0.232,-0.186
126,0,0,0.145,0.325,-0.126
127,0,0,0.154,0.325,-0.073
128,0,0,0.110,0.292,-0.060
129,0,0,0.212,0.365,-0.013
130,0,0,0.465,0.350,-0.009
131,0,0,0.251,0.457,-0.066
132,0,0,0.261,0.458,-0.111
133,0,0,0.515,0.504,-0.140
134,0,0,0.463,0.568,-0.185
135,0,0,0.417,0.559,-0.211
136,0,0,0.375,0.559,-0.236
137,0,0,0.338,0.135,-0.277
138,0,0,0.304,0.135,-0.315
139,0,0,0.274,0.144,-0.351
140,0,0,0.246,0.158,-0.384
141,0,1,0.222,0.846,-0.345
142,0,1,0.199,0.939,-0.312
143,0,1,0.179,0.638,-0.349
144,0,1,0.460,0.638,-0.323
