frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,0.832,0.832,0.191
1,1,1,0.929,0.902,0.191
2,1,0,0.927,0.312,0.187
3,1,0,0.929,0.281,0.187
4,1,0,0.922,0.466,0.226
5,1,0,0.916,0.295,0.193
6,1,0,0.915,0.466,0.184
7,1,0,0.907,0.380,0.175
8,1,1,0.915,0.801,0.173
9,1,1,0.917,0.874,0.168
10,1,1,0.913,0.889,0.167
11,1,1,0.915,0.898,0.166
12,1,1,0.917,0.905,0.167
13,1,1,0.918,0.862,0.163
14,1,0,0.909,0.379,0.172
15,1,0,0.914,0.253,0.685
16,1,0,0.913,0.359,0.560
17,1,0,0.912,0.323,0.559
18,1,0,0.913,0.291,0.563
19,1,0,0.915,0.262,0.566
20,1,1,0.917,0.892,0.528
21,1,1,0.904,0.930,0.500
22,1,1,0.916,0.930,0.478
23,1,1,0.913,0.925,0.454
24,1,1,0.924,0.871,0.428
25,1,1,0.925,0.903,0.404
26,1,1,0.928,0.813,0.406
27,1,1,0.930,0.677,0.280
28,1,0,0.930,0.453,0.189
29,1,0,0.891,0.302,0.157
30,1,0,0.896,0.360,0.155
31,1,0,0.896,0.344,0.125
32,1,1,0.927,0.840,0.129
33,1,1,0.897,0.858,0.127
34,1,1,0.922,0.865,0.132
35,1,1,0.920,0.871,0.134
36,1,1,0.923,0.922,0.140
37,1,1,0.899,0.891,0.134
38,1,0,0.923,0.436,0.135
39,1,1,0.901,0.903,0.133
40,1,1,0.921,0.734,0.138
41,1,0,0.921,0.459,0.140
42,1,0,0.909,0.315,0.135
43,1,0,0.913,0.452,-0.227
44,1,1,0.914,0.848,-0.148
45,1,1,0.911,0.859,-0.097
46,1,1,0.907,0.876,-0.053
47,1,1,0.908,0.882,-0.016
48,1,1,0.913,0.888,0.016
49,1,1,0.917,0.633,0.037
50,1,0,0.918,0.570,0.040
51,1,0,0.908,0.404,0.260
52,1,0,0.912,0.335,0.135
53,1,0,0.919,0.355,0.141
54,1,0,0.916,0.319,0.143
55,1,1,0.919,0.847,0.216
56,1,1,0.925,0.930,0.228
57,1,1,0.923,0.919,0.225
58,1,1,0.924,0.928,0.225
59,1,1,0.928,0.925,0.223
60,1,1,0.930,0.930,0.222
61,1,0,0.887,0.356,0.213
62,1,0,0.928,0.360,0.235
63,1,1,0.930,0.609,0.231
64,1,0,0.899,0.430,0.221
65,1,0,0.918,0.341,0.199
66,1,0,0.919,0.307,0.199
67,1,1,0.917,0.909,0.184
68,1,1,0.919,0.904,0.184
69,1,1,0.912,0.907,0.185
70,1,1,0.912,0.906,0.188
71,1,1,0.911,0.920,0.191
72,1,1,0.911,0.848,0.195
73,1,0,0.914,0.169,0.200
74,1,0,0.912,0.152,0.204
75,1,0,0.918,0.137,0.201
76,1,0,0.922,0.428,0.184
77,1,0,0.926,0.423,0.181
78,1,0,0.900,0.380,0.188
79,1,0,0.906,0.259,1.384
80,1,0,0.907,0.251,1.384
81,1,1,0.911,0.965,1.384
82,1,1,0.910,0.965,1.384
83,1,1,0.915,0.962,1.384
84,1,1,0.910,0.738,1.384
85,1,1,0.921,0.664,1.384
86,1,0,0.924,0.598,1.384
87,1,0,0.903,0.538,1.384
88,1,0,0.923,0.484,1.384
89,1,0,0.903,0.436,1.384
90,1,0,0.641,0.392,1.384
91,1,0,0.920,0.249,1.384
92,1,0,0.884,0.259,1.384
93,1,1,0.882,0.966,1.384
94,1,0,0.886,0.213,1.384
95,1,0,0.890,0.192,1.384
96,1,0,0.832,0.173,1.384
97,1,0,0.832,0.155,1.384
98,1,0,0.867,0.140,1.384
99,1,0,0.825,0.126,1.384
100,1,0,0.832,0.113,1.384
101,1,0,0.832,0.102,1.384
102,1,0,0.847,0.092,1.384
103,1,0,0.931,0.083,1.384
104,1,0,0.912,0.059,1.384
105,0,0,0.414,0.055,1.384
106,0,1,0.476,0.832,1.384
107,0,1,0.500,0.832,1.384
108,0,1,0.133,0.832,1.384
109,0,1,0.119,0.643,1.384
110,1,1,0.832,0.832,1.384
111,1,1,0.832,0.832,1.384
112,1,1,0.636,0.832,1.384
113,0,0,0.279,0.339,1.384
114,0,0,0.251,0.410,1.384
115,0,0,0.226,0.369,1.384
116,1,0,0.832,0.183,1.384
117,1,1,0.832,0.700,1.384
118,1,0,0.832,0.325,1.384
119,1,0,0.733,0.293,1.384
120,0,1,0.336,0.832,1.384
121,0,1,0.303,0.832,1.384
122,0,1,0.368,0.832,1.384
123,0,1,0.400,0.832,1.384
124,1,1,0.832,0.749,1.384
125,0,0,0.295,0.345,1.384
126,0,0,0.130,0.351,1.384
127,0,0,0.117,0.155,1.384
128,0,0,0.105,0.309,1.384
129,1,0,0.832,0.278,1.384
130,1,0,0.832,0.063,1.384
131,0,0,0.316,0.059,1.384
132,0,1,0.284,0.832,1.384
133,0,1,0.210,0.832,1.384
134,0,1,0.344,0.832,1.384
135,0,0,0.309,0.138,1.384
136,1,0,0.832,0.125,1.384
137,0,0,0.286,0.112,1.384
138,0,0,0.276,0.101,1.384
139,0,0,0.241,0.091,1.384
140,1,0,0.832,0.082,1.384
141,1,0,0.717,0.258,1.384
142,1,1,0.917,0.832,1.384
143,0,1,0.132,0.832,1.384
144,0,1,0.119,0.832,1.384
145,0,1,0.476,0.832,1.384
146,1,1,0.879,0.832,1.384
147,1,1,0.856,0.749,1.384
148,1,1,0.649,0.674,1.384
149,1,1,0.827,0.607,1.384
150,0,0,0.118,0.106,1.384
151,1,0,0.832,0.095,1.384
152,1,0,0.832,0.231,1.384
153,1,0,0.832,0.057,1.384
154,0,1,0.459,0.832,1.384
155,0,1,0.383,0.832,1.384
156,1,1,0.832,0.762,1.384
157,0,0,0.125,0.272,1.384
158,1,0,0.832,0.245,1.384
159,1,0,0.832,0.220,1.384
160,1,0,0.844,0.198,1.384
161,1,0,0.832,0.220,1.384
162,1,0,0.829,0.076,1.384
163,1,0,0.832,0.065,1.384
164,1,0,0.832,0.061,1.384
165,1,1,0.867,0.832,1.384
166,1,1,0.832,0.832,1.384
167,1,1,0.832,0.832,1.384
168,1,0,0.832,0.497,1.384
169,1,0,0.832,0.448,1.384
170,1,0,0.832,0.113,1.384
171,1,0,0.832,0.101,1.384
172,1,0,0.839,0.091,1.384
173,1,0,0.859,0.082,1.384
174,1,0,0.880,0.074,1.384
175,1,0,0.897,0.062,1.384
176,1,0,0.895,0.061,1.384
177,1,1,0.899,0.832,1.384
178,1,1,0.897,0.832,1.384
179,1,1,0.903,0.832,1.384
180,1,0,0.910,0.346,1.384
181,1,0,0.905,0.311,1.384
182,1,0,0.912,0.236,1.384
183,1,0,0.911,0.213,1.384
184,1,0,0.921,0.192,1.384
185,1,0,0.921,0.172,1.384
186,1,0,0.889,0.255,1.384
187,1,0,0.888,0.061,1.384
188,1,1,0.895,0.832,1.384
189,1,1,0.896,0.832,1.384
190,1,1,0.906,0.832,1.384
191,1,1,0.920,0.730,1.384
192,1,1,0.905,0.657,1.384
193,1,0,0.911,0.592,1.384
194,1,0,0.913,0.533,1.384
195,1,0,0.922,0.479,1.384
196,1,0,0.906,0.431,1.384
197,1,0,0.916,0.388,1.384
198,1,0,0.920,0.250,1.384
199,1,0,0.912,0.058,1.384
200,1,1,0.912,0.832,1.384
201,1,1,0.913,0.832,1.384
202,1,1,0.919,0.832,1.384
203,1,1,0.911,0.749,1.384
204,1,1,0.911,0.674,1.384
205,1,0,0.912,0.081,1.384
206,1,0,0.915,0.073,1.384
207,1,0,0.914,0.066,1.384
208,1,0,0.919,0.059,1.384
209,1,0,0.924,0.053,1.384
210,1,0,0.926,0.058,1.384
211,1,0,0.919,0.244,1.384
212,1,1,0.898,0.965,1.384
213,1,1,0.927,0.950,1.384
214,1,1,0.929,0.697,1.384
215,1,1,0.928,0.628,1.384
216,1,0,0.930,0.565,1.384
217,1,0,0.891,0.508,1.384
218,1,0,0.899,0.457,1.384
219,1,0,0.922,0.412,1.384
220,1,0,0.925,0.371,1.384
221,1,0,0.905,0.251,1.384
222,1,0,0.908,0.236,1.384
223,1,0,0.914,0.236,1.384
224,1,1,0.922,0.961,1.384
225,1,1,0.915,0.923,1.384
226,1,0,0.911,0.372,1.384
227,1,0,0.916,0.335,1.384
228,1,0,0.922,0.231,1.384
229,1,0,0.925,0.208,1.384
230,1,0,0.898,0.187,1.384
231,1,0,0.924,0.169,1.384
232,1,0,0.930,0.152,1.384
233,1,0,0.925,0.058,1.384
234,1,1,0.928,0.832,1.384
235,1,1,0.928,0.832,1.384
236,1,1,0.929,0.832,1.384
237,1,1,0.890,0.749,1.384
238,1,1,0.920,0.674,1.384
239,1,1,0.900,0.607,1.384
240,1,0,0.902,0.546,1.384
241,1,1,0.917,0.638,1.384
242,1,0,0.926,0.574,1.384
243,1,0,0.928,0.517,1.384
244,1,0,0.930,0.061,1.384
245,1,0,0.930,0.061,1.384
246,1,1,0.931,0.832,1.384
247,1,1,0.930,0.832,1.384
248,1,0,0.892,0.248,1.384
249,1,0,0.924,0.223,1.384
250,1,0,0.928,0.201,1.384
