frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
175,0,1,0.313,0.986,0.023
176,0,1,0.215,0.980,-0.177
177,0,1,0.334,0.970,-0.126
178,0,1,0.397,0.964,-0.101
179,0,1,0.421,0.961,-0.036
180,0,1,0.437,0.961,0.024
181,0,1,0.439,0.968,0.030
182,0,1,0.331,0.965,0.154
183,0,1,0.378,0.975,0.196
184,0,1,0.251,0.925,-0.037
185,0,1,0.251,0.926,-0.177
186,0,1,0.251,0.927,-0.271
187,0,1,0.191,0.972,-0.296
188,0,1,0.423,0.948,-0.257
189,0,1,0.438,0.921,-0.210
190,0,1,0.368,0.925,-0.161
191,0,1,0.212,0.953,-0.116
192,0,1,0.300,0.951,-0.086
193,0,1,0.332,0.907,0.026
194,0,1,0.300,0.710,0.046
195,0,1,0.300,0.711,0.065
196,0,1,0.319,0.752,0.082
197,0,0,0.216,0.444,-0.363
198,0,0,0.222,0.349,-0.215
199,0,0,0.422,0.313,-0.151
200,0,0,0.422,0.313,-0.086
201,0,0,0.350,0.281,-0.002
202,0,0,0.330,0.253,0.190
203,0,0,0.343,0.228,0.335
204,0,0,0.094,0.471,0.761
205,0,0,0.262,0.470,0.778
206,0,0,0.343,0.100,0.726
207,0,0,0.309,0.090,0.726
208,0,0,0.278,0.318,0.746
209,0,0,0.250,0.310,-0.230
210,0,0,0.225,0.310,-180.436
211,0,0,0.203,0.562,-286.540
212,0,0,0.182,0.506,-286.540
213,0,0,0.164,0.455,-286.540
214,0,0,0.148,0.565,-558.365
215,0,0,0.322,0.559,-295.233
216,0,0,0.303,0.563,-61.005
217,0,0,0.430,0.580,-5.533
218,0,0,0.450,0.594,298.627
219,0,1,0.159,0.620,2.081
220,0,0,0.143,0.256,2.047
221,0,0,0.128,0.413,2.046
222,0,0,0.116,0.533,2.053
223,0,0,0.104,0.546,2.004
224,0,0,0.576,0.418,2.130
225,0,0,0.584,0.414,2.271
226,0,0,0.088,0.076,1.305
227,0,0,0.079,0.529,1.755
228,0,0,0.071,0.530,6.778
229,0,0,0.064,0.531,51.436
230,0,0,0.058,0.266,87.794
231,0,0,0.052,0.361,66.329
232,0,0,0.047,0.325,66.329
233,0,0,0.042,0.454,25.343
234,0,0,0.038,0.408,25.343
235,0,0,0.034,0.368,25.343
236,0,0,0.031,0.366,64.316
237,0,0,0.028,0.330,64.316
238,0,0,0.025,0.297,64.316
239,0,0,0.022,0.267,64.316
240,0,0,0.020,0.240,64.316
241,0,0,0.018,0.361,84.228
242,0,0,0.016,0.517,100.604
243,0,0,0.015,0.591,114.524
244,0,0,0.013,0.591,15.712
245,0,0,0.012,0.559,6.403
246,0,0,0.011,0.185,4.112
247,0,0,0.010,0.174,3.493
248,0,0,0.009,0.174,3.116
249,0,0,0.008,0.439,2.679
250,0,0,0.007,0.449,2.452
251,0,0,0.264,0.376,2.665
252,0,0,0.283,0.394,2.905
253,0,0,0.152,0.215,2.382
